e1,ev,p,q,e,u,tid
1.47962725,0.376960132,804.5072524,1180.184846,0.697576599,0,CID-D400
1.583159545,0.371834113,817.1771771,1218.424981,0.697663947,0,CID-D400
1.672482624,0.364561493,828.9103722,1252.721332,0.697787872,0,CID-D400
1.774445116,0.353998312,837.3524257,1280.092375,0.697967869,0,CID-D400
1.871100176,0.341329821,847.4068224,1309.233613,0.69818374,0,CID-D400
1.965518888,0.326046562,856.5396645,1336.691825,0.698444167,0,CID-D400
2.062628692,0.309923505,864.1691724,1358.827729,0.698718903,0,CID-D400
2.162186643,0.290971076,870.6610687,1378.952515,0.699041853,0,CID-D400
2.262261632,0.27008723,878.8405561,1402.97172,0.699397714,0,CID-D400
2.360791735,0.24760463,883.9723382,1418.067855,0.699780817,0,CID-D400
2.462598492,0.224038551,889.3421219,1433.344999,0.700182383,0,CID-D400
2.555995586,0.198264225,894.6309899,1451.989634,0.700621578,0,CID-D400
2.650127747,0.17098187,899.4532029,1465.333418,0.701086469,0,CID-D400
2.752158762,0.143196451,904.8120323,1481.035121,0.701559932,0,CID-D400
2.844054575,0.114550298,908.8079563,1493.473668,0.702048063,0,CID-D400
2.946098049,0.084414727,912.6383467,1503.946855,0.702561573,0,CID-D400
3.043550469,0.05304912,916.4638399,1515.523554,0.703096043,0,CID-D400
3.140330116,0.021481125,919.8197168,1525.534288,0.703633962,0,CID-D400
3.233945239,-0.012315473,922.7711801,1536.520222,0.704209856,0,CID-D400
3.336773614,-0.047225209,924.3867014,1542.828289,0.704804718,0,CID-D400
3.419649285,-0.082376881,928.4703086,1551.816031,0.705403702,0,CID-D400
3.517431863,-0.120106103,931.5711069,1561.022331,0.706046608,0,CID-D400
3.615781314,-0.157677135,933.5213477,1566.480595,0.706686818,0,CID-D400
3.826683202,-0.236697736,937.6284903,1578.266216,0.708033329,0,CID-D400
3.923631043,-0.277324373,939.6489967,1585.327165,0.708725607,0,CID-D400
4.022410321,-0.318855945,940.7216674,1589.391884,0.709433305,0,CID-D400
4.115028743,-0.359907133,942.1251456,1593.134994,0.710132818,0,CID-D400
4.223912075,-0.402621632,944.4195562,1600.823144,0.710860673,0,CID-D400
4.474059058,-0.509757987,946.3840389,1606.568415,0.712686276,0,CID-D400
4.71215219,-0.618815292,949.8901786,1615.006807,0.714544613,0,CID-D400
4.974658262,-0.731293431,951.6494532,1619.939349,0.71646124,0,CID-D400
5.213013028,-0.845001606,951.9121708,1623.512866,0.718398827,0,CID-D400
5.466131425,-0.959259953,953.5214967,1628.887362,0.72034579,0,CID-D400
5.721180929,-1.075685837,954.7862814,1631.399227,0.722329687,0,CID-D400
5.963011689,-1.191106756,955.523525,1633.035695,0.724296459,0,CID-D400
6.217444485,-1.308157254,955.2275814,1630.925139,0.726291,0,CID-D400
6.466794107,-1.424280136,954.1847084,1629.607762,0.728269734,0,CID-D400
6.714150327,-1.540692062,954.4438531,1629.362388,0.730253393,0,CID-D400
6.963699289,-1.656656755,953.1388624,1626.516777,0.732229431,0,CID-D400
7.204720229,-1.77334842,952.3589673,1624.185449,0.734217857,0,CID-D400
7.448587997,-1.887712032,951.4538137,1619.63592,0.736166613,0,CID-D400
7.702248349,-2.003636015,949.5704983,1614.946165,0.738141958,0,CID-D400
7.946471191,-2.117048167,947.9899997,1610.251567,0.740074501,0,CID-D400
8.202791489,-2.230716213,945.6033267,1605.0391,0.742011404,0,CID-D400
8.450608683,-2.342638366,943.6022874,1596.693981,0.743918558,0,CID-D400
8.691928634,-2.453721884,940.8875256,1590.527708,0.745811421,0,CID-D400
8.947308296,-2.56335902,938.681865,1581.013715,0.747679638,0,CID-D400
9.189973793,-2.671102542,936.188721,1572.865293,0.749515587,0,CID-D400
9.446206879,-2.775896888,931.3860859,1560.951673,0.751301283,0,CID-D400
9.689152699,-2.877165714,929.5927296,1554.208611,0.753026904,0,CID-D400
9.938826248,-2.977026543,927.6959124,1547.284195,0.754728532,0,CID-D400
10.19302856,-3.074162102,924.1433721,1538.522332,0.756383722,0,CID-D400
10.44656432,-3.168756169,920.472115,1527.013985,0.757995605,0,CID-D400
10.69890405,-3.259307115,918.036386,1518.21402,0.759538593,0,CID-D400
10.94205543,-3.348721077,914.1560446,1507.758753,0.761062207,0,CID-D400
11.19399025,-3.435692997,910.308559,1495.773118,0.762544209,0,CID-D400
11.44682832,-3.518794524,908.3086416,1487.044019,0.763960259,0,CID-D400
11.69703137,-3.600438037,904.93839,1478.216276,0.765351464,0,CID-D400
11.94279287,-3.679495859,902.4736138,1473.089184,0.766698609,0,CID-D400
12.19173758,-3.755721401,898.9280449,1461.522301,0.767997493,0,CID-D400
12.4479146,-3.831058294,895.794231,1451.348458,0.769281233,0,CID-D400
12.69434888,-3.904456209,893.0424376,1442.998932,0.770531934,0,CID-D400
12.93867139,-3.976146615,889.7055104,1434.550132,0.771753538,0,CID-D400
13.18806461,-4.044686618,887.1145509,1425.773014,0.77292146,0,CID-D400
13.4417748,-4.111587738,884.8644849,1418.70368,0.774061455,0,CID-D400
13.68634649,-4.176396925,881.2274459,1408.082157,0.775165804,0,CID-D400
13.94171992,-4.241277646,879.5305356,1403.277592,0.776271371,0,CID-D400
14.1840428,-4.302660764,875.0421109,1389.938975,0.777317339,0,CID-D400
14.43840708,-4.365088394,871.9138896,1380.125759,0.778381106,0,CID-D400
14.68575707,-4.422655204,869.1311269,1371.329914,0.779362045,0,CID-D400
14.93431556,-4.478831464,865.4251584,1360.957222,0.780319288,0,CID-D400
15.18495466,-4.532686068,863.7204741,1354.825021,0.781236971,0,CID-D400
15.42297927,-4.584409775,860.0910328,1344.717039,0.782118343,0,CID-D400
15.68589648,-4.633841487,858.6455906,1339.273896,0.782960659,0,CID-D400
